,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_away_from_home,New Cases Per Million People,Total Cases Per Million People
1802,38,Miami,FL,Florida,12,2716940,2020,9,5,161017,549,5926.0,26.2,-0.13699999999999998,202.0,59264.0
2003,48,Honolulu,HI,Hawaii,15,974563,2020,9,5,8765,190,899.0,19.9,-0.215,195.0,8994.0
193,1,Los Angeles,CA,California,6,10039107,2020,9,4,246407,1408,2454.0,11.3,-0.14,140.0,24545.0
394,2,New York City,NY,New York,36,8336817,2020,9,4,240139,324,2880.0,3.48,-0.12300000000000001,39.0,28805.0
595,7,Dallas,TX,Texas,48,2635516,2020,9,4,76081,446,2887.0,17.3,-0.111,169.0,28868.0
796,9,Seattle,WA,Washington,53,2252782,2020,9,4,20092,158,892.0,4.52,-0.146,70.0,8919.0
997,13,Detroit,MI,Michigan,26,1749343,2020,9,4,31850,218,1821.0,7.1,-0.0581,125.0,18207.0
1198,21,San Francisco,CA,California,6,881549,2020,9,4,9758,59,1107.0,8.75,-0.247,67.0,11069.0
1399,25,Boston,MA,Massachusetts,25,803907,2020,9,4,22529,-64,2802.0,-13,-0.126,-80.0,28024.0
1600,28,Denver,CO,Colorado,8,727211,2020,9,4,11417,51,1570.0,5.3,-0.10099999999999999,70.0,15700.0
1801,38,Miami,FL,Florida,12,2716940,2020,9,4,160468,491,5906.0,26.6,-0.14,181.0,59062.0
2002,48,Honolulu,HI,Hawaii,15,974563,2020,9,4,8575,236,880.0,20.9,-0.217,242.0,8799.0
192,1,Los Angeles,CA,California,6,10039107,2020,9,3,244999,1064,2440.0,11.4,-0.141,106.0,24404.0
393,2,New York City,NY,New York,36,8336817,2020,9,3,239815,303,2877.0,3.39,-0.126,36.0,28766.0
594,7,Dallas,TX,Texas,48,2635516,2020,9,3,75635,0,2870.0,16.3,-0.114,0.0,28698.0
795,9,Seattle,WA,Washington,53,2252782,2020,9,3,19934,96,885.0,4.68,-0.146,43.0,8849.0
996,13,Detroit,MI,Michigan,26,1749343,2020,9,3,31632,124,1808.0,6.43,-0.0636,71.0,18082.0
1197,21,San Francisco,CA,California,6,881549,2020,9,3,9699,79,1100.0,8.86,-0.253,90.0,11002.0
1398,25,Boston,MA,Massachusetts,25,803907,2020,9,3,22593,85,2810.0,-9.97,-0.129,106.0,28104.0
1599,28,Denver,CO,Colorado,8,727211,2020,9,3,11366,27,1563.0,5.68,-0.10400000000000001,37.0,15630.0
1800,38,Miami,FL,Florida,12,2716940,2020,9,3,159977,578,5888.0,27.5,-0.141,213.0,58881.0
2001,48,Honolulu,HI,Hawaii,15,974563,2020,9,3,8339,190,856.0,20.9,-0.217,195.0,8557.0
191,1,Los Angeles,CA,California,6,10039107,2020,9,2,243935,1414,2430.0,12.2,-0.142,141.0,24298.0
392,2,New York City,NY,New York,36,8336817,2020,9,2,239512,266,2873.0,3.4,-0.127,32.0,28729.0
593,7,Dallas,TX,Texas,48,2635516,2020,9,2,75635,367,2870.0,16.3,-0.11599999999999999,139.0,28698.0
794,9,Seattle,WA,Washington,53,2252782,2020,9,2,19838,108,881.0,4.88,-0.146,48.0,8806.0
995,13,Detroit,MI,Michigan,26,1749343,2020,9,2,31508,126,1801.0,7.25,-0.0665,72.0,18011.0
1196,21,San Francisco,CA,California,6,881549,2020,9,2,9620,73,1091.0,9.03,-0.254,83.0,10913.0
1397,25,Boston,MA,Massachusetts,25,803907,2020,9,2,22508,-1040,2800.0,-9.88,-0.133,-1294.0,27998.0
1598,28,Denver,CO,Colorado,8,727211,2020,9,2,11339,32,1559.0,6.25,-0.105,44.0,15592.0
1799,38,Miami,FL,Florida,12,2716940,2020,9,2,159399,341,5867.0,27.7,-0.14300000000000002,126.0,58669.0
2000,48,Honolulu,HI,Hawaii,15,974563,2020,9,2,8149,301,836.0,22.3,-0.22,309.0,8362.0
190,1,Los Angeles,CA,California,6,10039107,2020,9,1,242521,753,2416.0,12.4,-0.14400000000000002,75.0,24158.0
391,2,New York City,NY,New York,36,8336817,2020,9,1,239246,308,2870.0,3.4,-0.125,37.0,28698.0
592,7,Dallas,TX,Texas,48,2635516,2020,9,1,75268,692,2856.0,17.5,-0.11199999999999999,263.0,28559.0
793,9,Seattle,WA,Washington,53,2252782,2020,9,1,19730,46,876.0,5.29,-0.146,20.0,8758.0
