,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
1798,38,Miami,FL,Florida,12,2716940,2020,9,1,159058,2149,5854.0,29.8,-0.27899999999999997,-0.153,-0.36,-0.503,-0.33299999999999996,0.12,-0.14400000000000002
1999,48,Honolulu,HI,Hawaii,15,974563,2020,9,1,7848,157,805.0,21.5,-0.414,-0.193,-0.539,-0.619,-0.40399999999999997,0.17300000000000001,-0.214
189,1,Los Angeles,CA,California,6,10039107,2020,8,31,241768,1019,2408.0,12.6,-0.29100000000000004,-0.121,0.0,-0.41100000000000003,-0.359,0.121,-0.14400000000000002
390,2,New York City,NY,New York,36,8336817,2020,8,31,238938,261,2866.0,3.27,-0.259,-0.0945,0.69,-0.408,-0.41700000000000004,0.111,-0.125
591,7,Dallas,TX,Texas,48,2635516,2020,8,31,74576,891,2830.0,15.8,-0.163,-0.0914,0.191,-0.321,-0.34,0.0943,-0.111
792,9,Seattle,WA,Washington,53,2252782,2020,8,31,19684,111,874.0,5.33,-0.247,-0.114,0.8809999999999999,-0.501,-0.456,0.131,-0.147
993,13,Detroit,MI,Michigan,26,1749343,2020,8,31,31256,78,1787.0,8.7,-0.09,-0.0771,,-0.33299999999999996,-0.326,0.0657,-0.0697
1194,21,San Francisco,CA,California,6,881549,2020,8,31,9497,66,1077.0,9.04,-0.574,-0.293,-0.26,-0.6609999999999999,-0.55,0.221,-0.259
1395,25,Boston,MA,Massachusetts,25,803907,2020,8,31,23472,69,2920.0,10.1,-0.314,-0.151,0.5429999999999999,-0.586,-0.434,0.11699999999999999,-0.132
1596,28,Denver,CO,Colorado,8,727211,2020,8,31,11265,40,1549.0,6.56,-0.253,-0.0486,0.564,-0.46,-0.373,0.0957,-0.10800000000000001
1797,38,Miami,FL,Florida,12,2716940,2020,8,31,156909,351,5775.0,22.6,-0.284,-0.159,-0.369,-0.506,-0.33399999999999996,0.12,-0.14400000000000002
1998,48,Honolulu,HI,Hawaii,15,974563,2020,8,31,7691,107,789.0,22.1,-0.406,-0.193,-0.541,-0.619,-0.397,0.17,-0.21100000000000002
188,1,Los Angeles,CA,California,6,10039107,2020,8,30,240749,993,2398.0,12.9,-0.294,-0.12300000000000001,-0.0114,-0.413,-0.359,0.121,-0.14400000000000002
389,2,New York City,NY,New York,36,8336817,2020,8,30,238677,292,2863.0,3.18,-0.265,-0.0969,0.679,-0.41100000000000003,-0.41700000000000004,0.11199999999999999,-0.126
590,7,Dallas,TX,Texas,48,2635516,2020,8,30,73685,0,2796.0,12.0,-0.16699999999999998,-0.0957,0.187,-0.32299999999999995,-0.34,0.0957,-0.113
791,9,Seattle,WA,Washington,53,2252782,2020,8,30,19573,74,869.0,5.56,-0.251,-0.11599999999999999,0.883,-0.501,-0.456,0.131,-0.147
