,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,concat
1668,38,Miami,FL,Florida,12,2716940,2020,4,24,10925,338,402.0,11.1,-0.503,-0.26899999999999996,-.694,-0.644,-0.473,0.231,-0.287,424
1869,48,Honolulu,HI,Hawaii,15,974563,2020,4,24,392,3,40.2,0.176,-0.491,-0.25,-.587,-0.6659999999999999,-0.467,0.22,-0.26899999999999996,424
59,1,Los Angeles,CA,California,6,10039107,2020,4,23,17508,1073,174.0,9.47,-0.5589999999999999,-0.21,-.413,-0.511,-0.467,0.217,-0.26899999999999996,423
260,2,New York City,NY,New York,36,8336817,2020,4,23,150327,3540,1803.0,40.6,-0.682,-0.28600000000000003,-.312,-0.6779999999999999,-0.628,0.271,-0.32899999999999996,423
461,7,Dallas,TX,Texas,48,2635516,2020,4,23,2763,80,105.0,3.78,-0.389,-0.16899999999999998,-.181,-0.409,-0.451,0.18600000000000003,-0.23,423
662,9,Seattle,WA,Washington,53,2252782,2020,4,23,5571,120,247.0,4.82,-0.54,-0.24,-.0186,-0.67,-0.606,0.24600000000000002,-0.293,423
863,13,Detroit,MI,Michigan,26,1749343,2020,4,23,15011,433,858.0,16.3,-0.513,-0.209,-.0471,-0.584,-0.5670000000000001,0.221,-0.265,423
1064,21,San Francisco,CA,California,6,881549,2020,4,23,1305,69,148.0,4.59,-0.763,-0.374,-.407,-0.711,-0.687,0.309,-0.37200000000000005,423
1265,25,Boston,MA,Massachusetts,25,803907,2020,4,23,9739,679,1211.0,51.9,-0.654,-0.327,-.417,-0.804,-0.631,0.273,-0.331,423
1466,28,Denver,CO,Colorado,8,727211,2020,4,23,2172,101,299.0,12.2,-0.524,-0.204,-.0557,-0.716,-0.527,0.213,-0.26,423
1667,38,Miami,FL,Florida,12,2716940,2020,4,23,10587,435,390.0,11.9,-0.506,-0.26899999999999996,-.694,-0.647,-0.47600000000000003,0.233,-0.28800000000000003,423
1868,48,Honolulu,HI,Hawaii,15,974563,2020,4,23,389,1,39.9,0.235,-0.493,-0.25,-.584,-0.6659999999999999,-0.469,0.22,-0.26899999999999996,423
58,1,Los Angeles,CA,California,6,10039107,2020,4,22,16435,1295,164.0,8.45,-0.56,-0.21100000000000002,-.417,-0.511,-0.467,0.217,-0.26899999999999996,422
259,2,New York City,NY,New York,36,8336817,2020,4,22,146787,3240,1761.0,43.1,-0.684,-0.287,-.314,-0.68,-0.632,0.272,-0.32899999999999996,422
460,7,Dallas,TX,Texas,48,2635516,2020,4,22,2683,81,102.0,3.78,-0.389,-0.166,-.189,-0.41100000000000003,-0.451,0.187,-0.231,422
661,9,Seattle,WA,Washington,53,2252782,2020,4,22,5451,70,242.0,4.77,-0.536,-0.23399999999999999,.0557,-0.667,-0.607,0.244,-0.292,422
862,13,Detroit,MI,Michigan,26,1749343,2020,4,22,14578,307,833.0,16.5,-0.511,-0.204,-.0371,-0.581,-0.569,0.221,-0.265,422
1063,21,San Francisco,CA,California,6,881549,2020,4,22,1236,2,140.0,3.57,-0.764,-0.374,-.429,-0.711,-0.687,0.31,-0.373,422
1264,25,Boston,MA,Massachusetts,25,803907,2020,4,22,9060,391,1127.0,49.4,-0.657,-0.32899999999999996,-.443,-0.804,-0.633,0.27399999999999997,-0.332,422
1465,28,Denver,CO,Colorado,8,727211,2020,4,22,2071,67,285.0,11.8,-0.5429999999999999,-0.226,-.141,-0.726,-0.536,0.223,-0.27,422
1666,38,Miami,FL,Florida,12,2716940,2020,4,22,10152,97,374.0,11.0,-0.507,-0.27,-.697,-0.649,-0.479,0.23399999999999999,-0.29,422
1867,48,Honolulu,HI,Hawaii,15,974563,2020,4,22,388,3,39.8,0.279,-0.491,-0.247,-.579,-0.6659999999999999,-0.47,0.22,-0.26899999999999996,422
57,1,Los Angeles,CA,California,6,10039107,2020,4,21,15140,1324,151.0,7.25,-0.55,-0.213,-.421,-0.51,-0.469,0.21899999999999997,-0.271,421
258,2,New York City,NY,New York,36,8336817,2020,4,21,143547,2666,1722.0,51.3,-0.6859999999999999,-0.29,-.314,-0.6809999999999999,-0.636,0.27399999999999997,-0.332,421
459,7,Dallas,TX,Texas,48,2635516,2020,4,21,2602,90,98.7,3.93,-0.381,-0.159,-.179,-0.409,-0.449,0.18600000000000003,-0.23,421
660,9,Seattle,WA,Washington,53,2252782,2020,4,21,5381,86,239.0,4.81,-0.529,-0.22399999999999998,.149,-0.6609999999999999,-0.609,0.243,-0.29,421
861,13,Detroit,MI,Michigan,26,1749343,2020,4,21,14271,343,816.0,16.8,-0.51,-0.203,-.0471,-0.581,-0.57,0.221,-0.265,421
1062,21,San Francisco,CA,California,6,881549,2020,4,21,1234,15,140.0,3.95,-0.7609999999999999,-0.373,-.434,-0.711,-0.6890000000000001,0.31,-0.373,421
1263,25,Boston,MA,Massachusetts,25,803907,2020,4,21,8669,355,1078.0,49.7,-0.6559999999999999,-0.324,-.426,-0.804,-0.633,0.27399999999999997,-0.332,421
1464,28,Denver,CO,Colorado,8,727211,2020,4,21,2004,124,276.0,11.8,-0.544,-0.226,-.181,-0.726,-0.537,0.22399999999999998,-0.272,421
1665,38,Miami,FL,Florida,12,2716940,2020,4,21,10055,399,370.0,12.3,-0.509,-0.26899999999999996,-.699,-0.65,-0.48100000000000004,0.23600000000000002,-0.29100000000000004,421
1866,48,Honolulu,HI,Hawaii,15,974563,2020,4,21,385,0,39.5,0.396,-0.49,-0.244,-.577,-0.6629999999999999,-0.47,0.22,-0.26899999999999996,421
56,1,Los Angeles,CA,California,6,10039107,2020,4,20,13816,1475,138.0,6.26,-0.537,-0.21899999999999997,-.426,-0.51,-0.47,0.22,-0.272,420
257,2,New York City,NY,New York,36,8336817,2020,4,20,140881,2511,1690.0,53.4,-0.68,-0.275,-.279,-0.6759999999999999,-0.637,0.273,-0.331,420
458,7,Dallas,TX,Texas,48,2635516,2020,4,20,2512,84,95.3,3.92,-0.387,-0.16,-.216,-0.41700000000000004,-0.45,0.18899999999999997,-0.233,420
659,9,Seattle,WA,Washington,53,2252782,2020,4,20,5295,121,235.0,4.72,-0.529,-0.22,.199,-0.6609999999999999,-0.61,0.243,-0.29,420
860,13,Detroit,MI,Michigan,26,1749343,2020,4,20,13928,220,796.0,18.6,-0.516,-0.21,-.0371,-0.581,-0.5710000000000001,0.221,-0.265,420
1061,21,San Francisco,CA,California,6,881549,2020,4,20,1219,59,138.0,4.2,-0.757,-0.37,-.42,-0.711,-0.6890000000000001,0.309,-0.37200000000000005,420
1262,25,Boston,MA,Massachusetts,25,803907,2020,4,20,8314,240,1034.0,48.6,-0.653,-0.309,-.386,-0.8009999999999999,-0.633,0.271,-0.33,420
1463,28,Denver,CO,Colorado,8,727211,2020,4,20,1880,96,259.0,10.5,-0.551,-0.231,-.23,-0.7290000000000001,-0.539,0.22899999999999998,-0.276,420
1664,38,Miami,FL,Florida,12,2716940,2020,4,20,9656,303,355.0,11.6,-0.513,-0.26899999999999996,-.701,-0.653,-0.483,0.237,-0.293,420
1865,48,Honolulu,HI,Hawaii,15,974563,2020,4,20,385,0,39.5,0.484,-0.493,-0.247,-.583,-0.6659999999999999,-0.473,0.221,-0.27,420
55,1,Los Angeles,CA,California,6,10039107,2020,4,19,12341,320,123.0,4.48,-0.527,-0.22699999999999998,-.439,-0.516,-0.473,0.221,-0.27399999999999997,419
256,2,New York City,NY,New York,36,8336817,2020,4,19,138370,3318,1660.0,55.6,-0.695,-0.302,-.329,-0.687,-0.645,0.278,-0.337,419
457,7,Dallas,TX,Texas,48,2635516,2020,4,19,2428,104,92.1,3.82,-0.39299999999999996,-0.161,-.241,-0.424,-0.451,0.19,-0.23399999999999999,419
658,9,Seattle,WA,Washington,53,2252782,2020,4,19,5174,109,230.0,4.73,-0.5329999999999999,-0.22,.177,-0.664,-0.611,0.244,-0.292,419
859,13,Detroit,MI,Michigan,26,1749343,2020,4,19,13708,221,784.0,20.8,-0.534,-0.223,-.126,-0.594,-0.5760000000000001,0.22399999999999998,-0.268,419
1060,21,San Francisco,CA,California,6,881549,2020,4,19,1160,20,132.0,4.62,-0.75,-0.366,-.413,-0.713,-0.6890000000000001,0.309,-0.37200000000000005,419
1261,25,Boston,MA,Massachusetts,25,803907,2020,4,19,8074,378,1004.0,48.2,-0.6659999999999999,-0.32899999999999996,-.43,-0.804,-0.631,0.27399999999999997,-0.33299999999999996,419
1462,28,Denver,CO,Colorado,8,727211,2020,4,19,1784,61,245.0,10.5,-0.573,-0.253,-.344,-0.74,-0.5489999999999999,0.237,-0.28600000000000003,419
1663,38,Miami,FL,Florida,12,2716940,2020,4,19,9353,309,344.0,12.1,-0.519,-0.26899999999999996,-.704,-0.6559999999999999,-0.484,0.239,-0.294,419
1864,48,Honolulu,HI,Hawaii,15,974563,2020,4,19,385,3,39.5,0.513,-0.499,-0.251,-.589,-0.667,-0.47700000000000004,0.223,-0.272,419
54,1,Los Angeles,CA,California,6,10039107,2020,4,18,12021,630,120.0,4.48,-0.5329999999999999,-0.24600000000000002,-.466,-0.526,-0.483,0.22399999999999998,-0.28,418
255,2,New York City,NY,New York,36,8336817,2020,4,18,135052,4049,1620.0,58.6,-0.705,-0.318,-.361,-0.6920000000000001,-0.654,0.28,-0.341,418
456,7,Dallas,TX,Texas,48,2635516,2020,4,18,2324,134,88.2,3.66,-0.40700000000000003,-0.166,-.247,-0.42700000000000005,-0.45899999999999996,0.19,-0.23399999999999999,418
657,9,Seattle,WA,Washington,53,2252782,2020,4,18,5065,161,225.0,5.08,-0.55,-0.231,.154,-0.669,-0.619,0.24600000000000002,-0.295,418
858,13,Detroit,MI,Michigan,26,1749343,2020,4,18,13487,238,771.0,20.7,-0.561,-0.259,-.204,-0.599,-0.586,0.22699999999999998,-0.27399999999999997,418
1059,21,San Francisco,CA,California,6,881549,2020,4,18,1140,79,129.0,4.54,-0.7509999999999999,-0.374,-.427,-0.72,-0.693,0.31,-0.375,418
1260,25,Boston,MA,Massachusetts,25,803907,2020,4,18,7696,424,957.0,49.2,-0.6809999999999999,-0.349,-.464,-0.809,-0.639,0.27699999999999997,-0.33899999999999997,418
1461,28,Denver,CO,Colorado,8,727211,2020,4,18,1723,87,237.0,10.6,-0.601,-0.287,-.454,-0.75,-0.5660000000000001,0.243,-0.298,418
1662,38,Miami,FL,Florida,12,2716940,2020,4,18,9044,221,333.0,12.0,-0.534,-0.294,-.71,-0.659,-0.494,0.24100000000000002,-0.3,418
1863,48,Honolulu,HI,Hawaii,15,974563,2020,4,18,382,2,39.2,0.498,-0.513,-0.261,-.599,-0.6709999999999999,-0.486,0.226,-0.27699999999999997,418
53,1,Los Angeles,CA,California,6,10039107,2020,4,17,11391,537,113.0,4.21,-0.521,-0.243,-.463,-0.529,-0.49,0.226,-0.282,417
254,2,New York City,NY,New York,36,8336817,2020,4,17,131003,4380,1571.0,62.2,-0.7020000000000001,-0.304,-.314,-0.69,-0.657,0.27899999999999997,-0.34,417
455,7,Dallas,TX,Texas,48,2635516,2020,4,17,2190,124,83.1,3.54,-0.413,-0.161,-.279,-0.444,-0.469,0.19399999999999998,-0.242,417
656,9,Seattle,WA,Washington,53,2252782,2020,4,17,4904,93,218.0,4.98,-0.5489999999999999,-0.221,.176,-0.67,-0.623,0.24600000000000002,-0.295,417
857,13,Detroit,MI,Michigan,26,1749343,2020,4,17,13249,231,757.0,22.1,-0.5660000000000001,-0.247,-.197,-0.6,-0.593,0.22899999999999998,-0.276,417
1058,21,San Francisco,CA,California,6,881549,2020,4,17,1061,39,120.0,4.23,-0.7490000000000001,-0.37,-.45,-0.727,-0.6990000000000001,0.311,-0.377,417
1259,25,Boston,MA,Massachusetts,25,803907,2020,4,17,7272,452,905.0,48.7,-0.6729999999999999,-0.32299999999999995,-.409,-0.8029999999999999,-0.64,0.27399999999999997,-0.33399999999999996,417
1460,28,Denver,CO,Colorado,8,727211,2020,4,17,1636,87,225.0,10.3,-0.6,-0.27,-.419,-0.75,-0.57,0.24,-0.293,417
1661,38,Miami,FL,Florida,12,2716940,2020,4,17,8823,498,325.0,13.3,-0.54,-0.303,-.719,-0.6659999999999999,-0.501,0.244,-0.305,417
1862,48,Honolulu,HI,Hawaii,15,974563,2020,4,17,380,7,39.0,0.542,-0.514,-0.263,-.604,-0.674,-0.491,0.22899999999999998,-0.282,417
52,1,Los Angeles,CA,California,6,10039107,2020,4,16,10854,358,108.0,4.13,-0.511,-0.247,-.481,-0.537,-0.5,0.231,-0.28800000000000003,416
253,2,New York City,NY,New York,36,8336817,2020,4,16,126623,4970,1519.0,64.3,-0.7090000000000001,-0.306,-.331,-0.696,-0.665,0.28300000000000003,-0.34299999999999997,416
454,7,Dallas,TX,Texas,48,2635516,2020,4,16,2066,80,78.4,3.44,-0.41,-0.15,-.247,-0.447,-0.479,0.196,-0.243,416
655,9,Seattle,WA,Washington,53,2252782,2020,4,16,4811,112,214.0,5.85,-0.5489999999999999,-0.21600000000000003,.194,-0.6729999999999999,-0.627,0.247,-0.29600000000000004,416
856,13,Detroit,MI,Michigan,26,1749343,2020,4,16,13018,458,744.0,23.9,-0.563,-0.231,-.167,-0.597,-0.599,0.23,-0.278,416
1057,21,San Francisco,CA,California,6,881549,2020,4,16,1022,6,116.0,4.78,-0.743,-0.364,-.433,-0.727,-0.701,0.311,-0.377,416
1258,25,Boston,MA,Massachusetts,25,803907,2020,4,16,6820,541,848.0,49.4,-0.677,-0.317,-.423,-0.804,-0.644,0.27699999999999997,-0.337,416
1459,28,Denver,CO,Colorado,8,727211,2020,4,16,1549,81,213.0,10.2,-0.601,-0.261,-.387,-0.75,-0.573,0.239,-0.292,416
1660,38,Miami,FL,Florida,12,2716940,2020,4,16,8325,259,306.0,12.8,-0.544,-0.306,-.723,-0.67,-0.513,0.25,-0.311,416
1861,48,Honolulu,HI,Hawaii,15,974563,2020,4,16,373,4,38.3,0.572,-0.514,-0.266,-.611,-0.68,-0.506,0.233,-0.287,416
51,1,Los Angeles,CA,California,6,10039107,2020,4,15,10496,449,105.0,4.22,-0.511,-0.267,-.526,-0.557,-0.509,0.239,-0.295,415
252,2,New York City,NY,New York,36,8336817,2020,4,15,121653,8021,1459.0,65.1,-0.715,-0.311,-.349,-0.6990000000000001,-0.67,0.28600000000000003,-0.34600000000000003,415
453,7,Dallas,TX,Texas,48,2635516,2020,4,15,1986,109,75.4,3.59,-0.419,-0.154,-.277,-0.456,-0.483,0.19699999999999998,-0.245,415
654,9,Seattle,WA,Washington,53,2252782,2020,4,15,4699,77,209.0,6.4,-0.55,-0.214,.206,-0.6759999999999999,-0.63,0.249,-0.297,415
855,13,Detroit,MI,Michigan,26,1749343,2020,4,15,12560,351,718.0,24.0,-0.57,-0.23600000000000002,-.179,-0.603,-0.601,0.231,-0.27899999999999997,415
1056,21,San Francisco,CA,California,6,881549,2020,4,15,1016,26,115.0,5.46,-0.736,-0.35700000000000004,-.423,-0.7290000000000001,-0.703,0.31,-0.376,415
1257,25,Boston,MA,Massachusetts,25,803907,2020,4,15,6279,407,781.0,47.6,-0.684,-0.326,-.449,-0.807,-0.647,0.28,-0.33899999999999997,415
1458,28,Denver,CO,Colorado,8,727211,2020,4,15,1468,66,202.0,10.6,-0.5870000000000001,-0.233,-.301,-0.743,-0.5670000000000001,0.23,-0.28300000000000003,415
1659,38,Miami,FL,Florida,12,2716940,2020,4,15,8066,355,297.0,13.7,-0.547,-0.309,-.724,-0.6709999999999999,-0.517,0.251,-0.312,415
1860,48,Honolulu,HI,Hawaii,15,974563,2020,4,15,369,11,37.9,0.601,-0.514,-0.267,-.619,-0.68,-0.507,0.233,-0.287,415
50,1,Los Angeles,CA,California,6,10039107,2020,4,14,10047,627,100.0,4.46,-0.514,-0.276,-.547,-0.5670000000000001,-0.514,0.24100000000000002,-0.298,414
251,2,New York City,NY,New York,36,8336817,2020,4,14,113632,3926,1363.0,60.2,-0.72,-0.309,-.351,-0.701,-0.672,0.287,-0.34700000000000003,414
452,7,Dallas,TX,Texas,48,2635516,2020,4,14,1877,89,71.2,3.34,-0.42700000000000005,-0.16,-.28,-0.46,-0.48700000000000004,0.19899999999999998,-0.24600000000000002,414
653,9,Seattle,WA,Washington,53,2252782,2020,4,14,4622,71,205.0,7.19,-0.5529999999999999,-0.217,.234,-0.679,-0.633,0.249,-0.297,414
854,13,Detroit,MI,Michigan,26,1749343,2020,4,14,12209,561,698.0,25.8,-0.57,-0.233,-.0257,-0.594,-0.604,0.23,-0.278,414
1055,21,San Francisco,CA,California,6,881549,2020,4,14,990,30,112.0,5.96,-0.7340000000000001,-0.35600000000000004,-.439,-0.73,-0.7040000000000001,0.31,-0.376,414
1256,25,Boston,MA,Massachusetts,25,803907,2020,4,14,5872,293,730.0,46.7,-0.6890000000000001,-0.324,-.457,-0.807,-0.649,0.281,-0.341,414
1457,28,Denver,CO,Colorado,8,727211,2020,4,14,1402,56,193.0,10.2,-0.59,-0.22699999999999998,-.244,-0.743,-0.569,0.23,-0.28300000000000003,414
1658,38,Miami,FL,Florida,12,2716940,2020,4,14,7711,253,284.0,13.6,-0.551,-0.316,-.727,-0.674,-0.52,0.253,-0.314,414
1859,48,Honolulu,HI,Hawaii,15,974563,2020,4,14,358,6,36.7,0.674,-0.517,-0.27399999999999997,-.627,-0.6829999999999999,-0.511,0.23399999999999999,-0.28800000000000003,414
49,1,Los Angeles,CA,California,6,10039107,2020,4,13,9420,228,93.8,4.35,-0.523,-0.28300000000000003,-.576,-0.5770000000000001,-0.519,0.244,-0.301,413
250,2,New York City,NY,New York,36,8336817,2020,4,13,109706,3767,1316.0,62.0,-0.722,-0.307,-.355,-0.703,-0.674,0.28800000000000003,-0.348,413
451,7,Dallas,TX,Texas,48,2635516,2020,4,13,1788,65,67.8,3.43,-0.42700000000000005,-0.157,-.253,-0.45899999999999996,-0.489,0.19699999999999998,-0.245,413
652,9,Seattle,WA,Washington,53,2252782,2020,4,13,4551,123,202.0,7.72,-0.5529999999999999,-0.21600000000000003,.239,-0.6809999999999999,-0.636,0.249,-0.297,413
853,13,Detroit,MI,Michigan,26,1749343,2020,4,13,11648,484,666.0,27.6,-0.574,-0.231,-.00429,-0.597,-0.609,0.231,-0.27899999999999997,413
1054,21,San Francisco,CA,California,6,881549,2020,4,13,960,85,109.0,6.06,-0.733,-0.34700000000000003,-.451,-0.73,-0.706,0.311,-0.377,413
1255,25,Boston,MA,Massachusetts,25,803907,2020,4,13,5579,220,694.0,47.1,-0.687,-0.32299999999999995,-.446,-0.807,-0.65,0.28300000000000003,-0.342,413
1456,28,Denver,CO,Colorado,8,727211,2020,4,13,1346,99,185.0,9.8,-0.586,-0.21600000000000003,-.17,-0.741,-0.57,0.22699999999999998,-0.28,413
1657,38,Miami,FL,Florida,12,2716940,2020,4,13,7458,401,274.0,14.7,-0.551,-0.317,-.729,-0.6759999999999999,-0.523,0.254,-0.315,413
1858,48,Honolulu,HI,Hawaii,15,974563,2020,4,13,352,2,36.1,0.88,-0.513,-0.26899999999999996,-.621,-0.679,-0.511,0.233,-0.287,413
48,1,Los Angeles,CA,California,6,10039107,2020,4,12,9192,319,91.6,4.63,-0.526,-0.281,-.591,-0.584,-0.523,0.247,-0.304,412
249,2,New York City,NY,New York,36,8336817,2020,4,12,105939,5099,1271.0,63.8,-0.7,-0.27899999999999997,-.292,-0.693,-0.6709999999999999,0.284,-0.34299999999999997,412
450,7,Dallas,TX,Texas,48,2635516,2020,4,12,1723,75,65.4,3.31,-0.429,-0.156,-.261,-0.46,-0.49,0.19899999999999998,-0.247,412
651,9,Seattle,WA,Washington,53,2252782,2020,4,12,4428,164,197.0,7.98,-0.55,-0.213,.259,-0.6829999999999999,-0.637,0.249,-0.297,412
852,13,Detroit,MI,Michigan,26,1749343,2020,4,12,11164,213,638.0,29.8,-0.5670000000000001,-0.223,.0714,-0.591,-0.609,0.23,-0.27699999999999997,412
1053,21,San Francisco,CA,California,6,881549,2020,4,12,875,15,99.3,4.93,-0.737,-0.353,-.49,-0.7340000000000001,-0.7070000000000001,0.314,-0.381,412
1254,25,Boston,MA,Massachusetts,25,803907,2020,4,12,5359,433,667.0,48.0,-0.6729999999999999,-0.289,-.363,-0.8,-0.647,0.27699999999999997,-0.336,412
1455,28,Denver,CO,Colorado,8,727211,2020,4,12,1247,65,171.0,8.29,-0.57,-0.18899999999999997,-.0443,-0.733,-0.563,0.22,-0.272,412
1656,38,Miami,FL,Florida,12,2716940,2020,4,12,7057,300,260.0,15.3,-0.551,-0.32,-.733,-0.677,-0.526,0.256,-0.317,412
1857,48,Honolulu,HI,Hawaii,15,974563,2020,4,12,350,2,35.9,1.01,-0.507,-0.263,-.626,-0.679,-0.51,0.233,-0.287,412
47,1,Los Angeles,CA,California,6,10039107,2020,4,11,8873,443,88.4,5.12,-0.51,-0.266,-.577,-0.58,-0.519,0.24600000000000002,-0.301,411
248,2,New York City,NY,New York,36,8336817,2020,4,11,100840,6138,1210.0,62.7,-0.688,-0.26899999999999996,-.304,-0.693,-0.67,0.28300000000000003,-0.342,411
449,7,Dallas,TX,Texas,48,2635516,2020,4,11,1648,111,62.5,3.43,-0.42,-0.147,-.264,-0.466,-0.48700000000000004,0.2,-0.249,411
650,9,Seattle,WA,Washington,53,2252782,2020,4,11,4264,145,189.0,8.65,-0.537,-0.20600000000000002,.239,-0.6859999999999999,-0.636,0.25,-0.3,411
851,13,Detroit,MI,Michigan,26,1749343,2020,4,11,10951,412,626.0,34.2,-0.5429999999999999,-0.18600000000000003,.169,-0.586,-0.603,0.22899999999999998,-0.275,411
1052,21,San Francisco,CA,California,6,881549,2020,4,11,860,60,97.6,5.36,-0.7340000000000001,-0.34299999999999997,-.514,-0.7390000000000001,-0.7090000000000001,0.317,-0.386,411
1253,25,Boston,MA,Massachusetts,25,803907,2020,4,11,4926,392,613.0,44.4,-0.6629999999999999,-0.264,-.367,-0.797,-0.644,0.276,-0.33299999999999996,411
1454,28,Denver,CO,Colorado,8,727211,2020,4,11,1182,69,163.0,8.11,-0.547,-0.154,.0686,-0.726,-0.5529999999999999,0.214,-0.26,411
1655,38,Miami,FL,Florida,12,2716940,2020,4,11,6757,458,249.0,15.1,-0.541,-0.303,-.734,-0.677,-0.523,0.256,-0.317,411
1856,48,Honolulu,HI,Hawaii,15,974563,2020,4,11,348,5,35.7,1.2,-0.491,-0.249,-.624,-0.677,-0.503,0.231,-0.284,411
46,1,Los Angeles,CA,California,6,10039107,2020,4,10,8430,475,84.0,5.5,-0.509,-0.267,-.577,-0.579,-0.516,0.24600000000000002,-0.301,410
247,2,New York City,NY,New York,36,8336817,2020,4,10,94702,5575,1136.0,63.0,-0.682,-0.276,-.308,-0.691,-0.67,0.28300000000000003,-0.342,410
448,7,Dallas,TX,Texas,48,2635516,2020,4,10,1537,105,58.3,3.34,-0.42700000000000005,-0.154,-.281,-0.47100000000000003,-0.486,0.201,-0.252,410
649,9,Seattle,WA,Washington,53,2252782,2020,4,10,4119,231,183.0,8.43,-0.539,-0.213,.256,-0.687,-0.636,0.25,-0.3,410
850,13,Detroit,MI,Michigan,26,1749343,2020,4,10,10539,446,602.0,36.3,-0.546,-0.201,.141,-0.589,-0.603,0.22899999999999998,-0.275,410
1051,21,San Francisco,CA,California,6,881549,2020,4,10,800,73,90.7,4.86,-0.737,-0.35100000000000003,-.54,-0.741,-0.711,0.32,-0.391,410
1252,25,Boston,MA,Massachusetts,25,803907,2020,4,10,4534,493,564.0,41.8,-0.6629999999999999,-0.26,-.364,-0.794,-0.6409999999999999,0.27399999999999997,-0.33,410
1453,28,Denver,CO,Colorado,8,727211,2020,4,10,1113,82,153.0,7.8,-0.551,-0.16699999999999998,.0486,-0.73,-0.551,0.217,-0.265,410
1654,38,Miami,FL,Florida,12,2716940,2020,4,10,6299,402,232.0,15.4,-0.539,-0.29600000000000004,-.73,-0.6729999999999999,-0.521,0.254,-0.314,410
1855,48,Honolulu,HI,Hawaii,15,974563,2020,4,10,343,9,35.2,1.55,-0.491,-0.249,-.62,-0.6759999999999999,-0.5,0.23,-0.281,410
45,1,Los Angeles,CA,California,6,10039107,2020,4,9,7955,425,79.2,5.56,-0.5,-0.257,-.553,-0.569,-0.507,0.24,-0.29600000000000004,49
246,2,New York City,NY,New York,36,8336817,2020,4,9,89127,5454,1069.0,62.9,-0.6709999999999999,-0.27899999999999997,-.311,-0.6859999999999999,-0.664,0.281,-0.34,49
447,7,Dallas,TX,Texas,48,2635516,2020,4,9,1432,108,54.3,3.26,-0.433,-0.159,-.339,-0.48,-0.48,0.204,-0.255,49
648,9,Seattle,WA,Washington,53,2252782,2020,4,9,3888,198,173.0,7.8,-0.541,-0.21899999999999997,.189,-0.69,-0.634,0.251,-0.302,49
849,13,Detroit,MI,Michigan,26,1749343,2020,4,9,10093,467,577.0,41.0,-0.537,-0.19399999999999998,.24,-0.5770000000000001,-0.597,0.22399999999999998,-0.27,49
1050,21,San Francisco,CA,California,6,881549,2020,4,9,727,48,82.5,4.49,-0.7340000000000001,-0.34700000000000003,-.544,-0.7390000000000001,-0.71,0.319,-0.39,49
1251,25,Boston,MA,Massachusetts,25,803907,2020,4,9,4041,441,503.0,38.1,-0.6629999999999999,-0.264,-.383,-0.7959999999999999,-0.639,0.27399999999999997,-0.33,49
1452,28,Denver,CO,Colorado,8,727211,2020,4,9,1031,104,142.0,7.62,-0.5539999999999999,-0.171,-.00714,-0.733,-0.551,0.22,-0.268,49
1653,38,Miami,FL,Florida,12,2716940,2020,4,9,5897,437,217.0,15.8,-0.534,-0.289,-.729,-0.67,-0.511,0.25,-0.31,49
1854,48,Honolulu,HI,Hawaii,15,974563,2020,4,9,334,6,34.3,1.88,-0.489,-0.239,-.616,-0.669,-0.486,0.226,-0.27699999999999997,49
44,1,Los Angeles,CA,California,6,10039107,2020,4,8,7530,620,75.0,5.71,-0.483,-0.23600000000000002,-.51,-0.55,-0.5,0.23399999999999999,-0.29,48
245,2,New York City,NY,New York,36,8336817,2020,4,8,83673,5175,1004.0,61.3,-0.6559999999999999,-0.275,-.293,-0.6809999999999999,-0.66,0.28,-0.33899999999999997,48
446,7,Dallas,TX,Texas,48,2635516,2020,4,8,1324,63,50.2,3.21,-0.433,-0.156,-.341,-0.48,-0.479,0.20600000000000002,-0.256,48
647,9,Seattle,WA,Washington,53,2252782,2020,4,8,3690,202,164.0,7.56,-0.546,-0.22399999999999998,.12,-0.693,-0.634,0.253,-0.303,48
848,13,Detroit,MI,Michigan,26,1749343,2020,4,8,9626,581,550.0,42.1,-0.529,-0.18899999999999997,.38,-0.564,-0.596,0.221,-0.267,48
1049,21,San Francisco,CA,California,6,881549,2020,4,8,679,57,77.0,3.92,-0.731,-0.341,-.54,-0.736,-0.7090000000000001,0.319,-0.39,48
1250,25,Boston,MA,Massachusetts,25,803907,2020,4,8,3600,355,448.0,35.1,-0.657,-0.25,-.37,-0.7929999999999999,-0.636,0.271,-0.327,48
1451,28,Denver,CO,Colorado,8,727211,2020,4,8,927,43,127.0,6.7,-0.561,-0.18,-.0871,-0.737,-0.5529999999999999,0.22399999999999998,-0.272,48
1652,38,Miami,FL,Florida,12,2716940,2020,4,8,5460,335,201.0,16.0,-0.529,-0.276,-.727,-0.67,-0.507,0.249,-0.309,48
1853,48,Honolulu,HI,Hawaii,15,974563,2020,4,8,328,16,33.7,2.14,-0.48700000000000004,-0.24,-.611,-0.669,-0.484,0.226,-0.27699999999999997,48
43,1,Los Angeles,CA,California,6,10039107,2020,4,7,6910,550,68.8,5.55,-0.47100000000000003,-0.223,-.486,-0.539,-0.496,0.23,-0.285,47
